Türü;Net Metrekare;Brüt Metrekare;Oda Sayısı;Binanın Yaşı;Binanın Kat Sayısı;Isıtma Tipi;Kullanım Durumu;Site İçerisinde;Banyo Sayısı;Fiyat;İl;İlçe;Mahalle
Konut;120 m²;125 m²;3+1;0 (Yeni);3;Kombi Doğalgaz;Boş;Hayır;1;3.895.000;İstanbul;Arnavutköy;İslambey Mahallesi
Konut;65 m²;75 m²;1+1;1;10;Kombi Doğalgaz;Boş;Hayır;1;1.740.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;85 m²;95 m²;2+1;2;6;Kombi Doğalgaz;Boş;Evet;1;2.445.000;İstanbul;Esenyurt;Sultaniye Mahallesi
Konut;85 m²;100 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;5.250.000;İstanbul;Eyüpsultan;Silahtarağa Mahallesi
Konut;60 m²;67 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Evet;1;6.200.000;İstanbul;Üsküdar;Burhaniye Mahallesi
Konut;135 m²;150 m²;4+2;5-10;6;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;6.340.000;İstanbul;Ümraniye;Esenşehir Mahallesi
Konut;40 m²;60 m²;1+1;21 Ve Üzeri;2;Kombi Doğalgaz;Boş;Hayır;1;1.350.000;İstanbul;Maltepe;Gülsuyu Mahallesi
Konut;80 m²;95 m²;2+1;0 (Yeni);3;Kombi Doğalgaz;Boş;Hayır;1;2.950.000;İstanbul;Arnavutköy;Mustafa Kemal Paşa Mahallesi
Konut;230 m²;255 m²;4+2;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;3;6.874.000;İstanbul;Beylikdüzü;Adnan Kahveci Mahallesi
Konut;105 m²;115 m²;3+1;0 (Yeni);15;Merkezi (Pay Ölçer);Boş;Evet;2;7.000.000;İstanbul;Gaziosmanpaşa;Bağlarbaşı Mahallesi
Konut;135 m²;155 m²;3+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;2;3.699.999;İstanbul;Beylikdüzü;Kavaklı Mahallesi
Konut;100 m²;135 m²;3+1;0 (Yeni);6;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;2;13.000.000;İstanbul;Beşiktaş;Türkali Mahallesi
Konut;110 m²;115 m²;2+1;4;5;Kombi Doğalgaz;Boş;Hayır;1;2.700.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;140 m²;165 m²;3+2;0 (Yeni);5;Merkezi (Pay Ölçer);Boş;Hayır;2;7.500.000;İstanbul;Maltepe;Aydınevler Mahallesi
Konut;85 m²;95 m²;2+1;11-15;3;Kombi Doğalgaz;Boş;Hayır;1;2.375.000;İstanbul;Avcılar;Mustafa Kemal Paşa Mahallesi
Konut;90 m²;100 m²;2+1;4;4;Kombi Doğalgaz;Boş;Hayır;2;2.550.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;95 m²;110 m²;2+1;5-10;22;Kombi Doğalgaz;Boş;Hayır;2;2.785.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;160 m²;180 m²;4+2;5-10;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;7.490.000;İstanbul;Küçükçekmece;İstasyon Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Üsküdar;Valide-i Atik Mahallesi
Konut;93 m²;141 m²;3+1;0 (Yeni);26;Merkezi Doğalgaz;Boş;Evet;1;16.250.000;İstanbul;Kadıköy;Fikirtepe Mahallesi
Konut;100 m²;105 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;2.899.999;İstanbul;Esenyurt;Mehmet Akif Ersoy Mahallesi
Konut;95 m²;120 m²;3+1;21 Ve Üzeri;12;Merkezi (Pay Ölçer);Boş;Hayır;1;8.000.000;İstanbul;Kadıköy;Kozyatağı Mahallesi
Konut;75 m²;80 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Boş;Hayır;1;2.600.000;İstanbul;Fatih;Seyyid Ömer Mahallesi
Konut;165 m²;185 m²;4+1;21 Ve Üzeri;7;Merkezi Doğalgaz;Kiracı Oturuyor;Hayır;2;8.000.000;İstanbul;Büyükçekmece;Sinanoba Mahallesi
Konut;90 m²;100 m²;2+1;4;4;Kombi Doğalgaz;Boş;Hayır;2;2.550.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;95 m²;110 m²;2+1;5-10;22;Kombi Doğalgaz;Boş;Hayır;2;2.785.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;45 m²;60 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;4.650.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;85 m²;105 m²;2+1;0 (Yeni);8;Kombi Doğalgaz;Boş;Hayır;2;13.500.000;İstanbul;Kadıköy;Kozyatağı Mahallesi
Konut;80 m²;90 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.500.000;İstanbul;Güngören;Güven Mahallesi
Konut;130 m²;140 m²;3+1;21 Ve Üzeri;7;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.210.000;İstanbul;Küçükçekmece;İnönü Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Üsküdar;Valide-i Atik Mahallesi
Konut;85 m²;110 m²;3+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;1;6.500.000;İstanbul;Eyüpsultan;Çırçır Mahallesi
Konut;95 m²;145 m²;3+1;5-10;13;Merkezi (Pay Ölçer);Kiracı Oturuyor;Evet;2;14.500.000;İstanbul;Maltepe;Altayçeşme Mahallesi
Konut;280 m²;320 m²;4+2;4;11;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;4;29.950.000;İstanbul;Kadıköy;Sahrayı Cedit Mahallesi
Konut;95 m²;110 m²;2+1;5-10;22;Kombi Doğalgaz;Boş;Hayır;2;2.785.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;45 m²;60 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;4.650.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Üsküdar;Valide-i Atik Mahallesi
Konut;85 m²;110 m²;3+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;1;6.500.000;İstanbul;Eyüpsultan;Çırçır Mahallesi
Konut;95 m²;145 m²;3+1;5-10;13;Merkezi (Pay Ölçer);Kiracı Oturuyor;Evet;2;14.500.000;İstanbul;Maltepe;Altayçeşme Mahallesi
Konut;280 m²;320 m²;4+2;4;11;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;4;29.950.000;İstanbul;Kadıköy;Sahrayı Cedit Mahallesi
Konut;95 m²;110 m²;2+1;5-10;22;Kombi Doğalgaz;Boş;Hayır;2;2.785.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;45 m²;60 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;4.650.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;70 m²;80 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Üsküdar;Valide-i Atik Mahallesi
Konut;85 m²;110 m²;3+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;1;6.500.000;İstanbul;Eyüpsultan;Çırçır Mahallesi
Konut;95 m²;145 m²;3+1;5-10;13;Merkezi (Pay Ölçer);Kiracı Oturuyor;Evet;2;14.500.000;İstanbul;Maltepe;Altayçeşme Mahallesi
Konut;280 m²;320 m²;4+2;4;11;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;4;29.950.000;İstanbul;Kadıköy;Sahrayı Cedit Mahallesi
Konut;105 m²;142 m²;3+1;0 (Yeni);9;Yerden Isıtma;Boş;Hayır;1;23.400.000;İstanbul;Kadıköy;Fenerbahçe Mahallesi
Konut;75 m²;85 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;5.975.000;İstanbul;Maltepe;İdealtepe Mahallesi
Konut;90 m²;100 m²;2+1;5-10;6;Kombi Doğalgaz;Boş;Hayır;1;2.785.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;80 m²;90 m²;2+1;1;7;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;850.000;İstanbul;Küçükçekmece;Mehmet Akif Mahallesi
Konut;105 m²;142 m²;3+1;0 (Yeni);9;Yerden Isıtma;Boş;Hayır;1;23.400.000;İstanbul;Kadıköy;Fenerbahçe Mahallesi
Konut;75 m²;85 m²;2+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;5.975.000;İstanbul;Maltepe;İdealtepe Mahallesi
Konut;90 m²;100 m²;2+1;5-10;6;Kombi Doğalgaz;Boş;Hayır;1;2.785.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;80 m²;90 m²;2+1;1;7;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;850.000;İstanbul;Küçükçekmece;Mehmet Akif Mahallesi
Konut;100 m²;110 m²;2+1;4;18;Kombi Doğalgaz;Boş;Hayır;1;1.999.999;İstanbul;Esenyurt;Piri Reis Mahallesi
Konut;105 m²;142 m²;3+1;0 (Yeni);9;Yerden Isıtma;Boş;Hayır;1;23.400.000;İstanbul;Kadıköy;Fenerbahçe Mahallesi
Konut;75 m²;90 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Boş;Hayır;1;4.500.000;İstanbul;Fatih;Topkapı Mahallesi
Konut;300 m²;305 m²;4+1;21 Ve Üzeri;7;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;9.750.000;İstanbul;Zeytinburnu;Yenidoğan Mahallesi
Konut;160 m²;190 m²;4+1;11-15;12;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;2;18.400.000;İstanbul;Kadıköy;Bostancı Mahallesi
Konut;160 m²;180 m²;4+2;16-20;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;5.100.000;İstanbul;Tuzla;Orta Mahallesi
Konut;75 m²;90 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Boş;Hayır;1;1.650.000;İstanbul;Bahçelievler;Siyavuşpaşa Mahallesi
Konut;110 m²;130 m²;3+1;21 Ve Üzeri;9;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;1;8.750.000;İstanbul;Maltepe;Altayçeşme Mahallesi
Konut;90 m²;105 m²;2+1;5-10;5;Kombi Doğalgaz;Boş;Hayır;1;2.650.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;100 m²;105 m²;2+1;2;6;Kombi Doğalgaz;Boş;Hayır;1;1.790.000;İstanbul;Esenyurt;Üçevler Mahallesi
Konut;290 m²;320 m²;6+2;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;6.650.000;İstanbul;Gaziosmanpaşa;Kazım Karabekir Mahallesi
Konut;70 m²;75 m²;2+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;1;3.200.000;İstanbul;Kağıthane;Telsizler Mahallesi
Konut;120 m²;130 m²;3+2;11-15;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;2;4.900.000;İstanbul;Şişli;Gülbahar Mahallesi
Konut;149 m²;187 m²;3+1;5-10;19;Merkezi (Pay Ölçer);Mülk Sahibi Oturuyor;Evet;2;9.500.000;İstanbul;Başakşehir;Bahçeşehir 2. Kısım Mahallesi
Konut;90 m²;100 m²;2+1;11-15;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.875.000;İstanbul;Avcılar;Gümüşpala Mahallesi
Konut;80 m²;100 m²;3+1;1;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;9.450.000;İstanbul;Maltepe;Çınar Mahallesi
Konut;80 m²;100 m²;3+1;0 (Yeni);10;Kombi Doğalgaz;Boş;Hayır;2;13.950.000;İstanbul;Kadıköy;Caddebostan Mahallesi
Konut;83 m²;110 m²;3+1;4;7;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;12.200.000;İstanbul;Kadıköy;Kozyatağı Mahallesi
Konut;50 m²;70 m²;1+1;1;9;Merkezi (Pay Ölçer);Boş;Evet;1;5.000.000;İstanbul;Başakşehir;Kayabaşı Mahallesi
Konut;100 m²;120 m²;3+1;21 Ve Üzeri;6;Kombi Doğalgaz;Boş;Hayır;1;2.650.000;İstanbul;Kartal;Topselvi Mahallesi
Konut;80 m²;85 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.600.000;İstanbul;Bahçelievler;Soğanlı Mahallesi
Konut;160 m²;180 m²;4+2;5-10;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;7.490.000;İstanbul;Küçükçekmece;İstasyon Mahallesi
Konut;85 m²;110 m²;3+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Hayır;1;6.500.000;İstanbul;Eyüpsultan;Çırçır Mahallesi
Konut;93 m²;141 m²;3+1;0 (Yeni);26;Merkezi Doğalgaz;Boş;Evet;1;16.250.000;İstanbul;Kadıköy;Fikirtepe Mahallesi
Konut;100 m²;105 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;2.899.999;İstanbul;Esenyurt;Mehmet Akif Ersoy Mahallesi
Konut;280 m²;320 m²;4+2;4;11;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Evet;4;29.950.000;İstanbul;Kadıköy;Sahrayı Cedit Mahallesi
Konut;95 m²;120 m²;3+1;21 Ve Üzeri;12;Merkezi (Pay Ölçer);Boş;Hayır;1;8.000.000;İstanbul;Kadıköy;Kozyatağı Mahallesi
Konut;240 m²;282 m²;5+1;21 Ve Üzeri;15;Merkezi (Pay Ölçer);Boş;Hayır;3;45.000.000;İstanbul;Kadıköy;Fenerbahçe Mahallesi
Konut;75 m²;80 m²;2+1;21 Ve Üzeri;3;Kombi Doğalgaz;Boş;Hayır;1;2.600.000;İstanbul;Fatih;Seyyid Ömer Mahallesi
Konut;90 m²;100 m²;2+1;4;4;Kombi Doğalgaz;Boş;Hayır;2;2.550.000;İstanbul;Esenyurt;Mehterçeşme Mahallesi
Konut;95 m²;110 m²;2+1;5-10;22;Kombi Doğalgaz;Boş;Hayır;2;2.785.000;İstanbul;Esenyurt;Yeşilkent Mahallesi
Konut;45 m²;60 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Hayır;1;4.650.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;50 m²;60 m²;1+1;2;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;1.587.000;İstanbul;Başakşehir;Altınşehir Mahallesi
Konut;85 m²;105 m²;2+1;0 (Yeni);8;Kombi Doğalgaz;Boş;Hayır;2;13.500.000;İstanbul;Kadıköy;Kozyatağı Mahallesi
Konut;130 m²;140 m²;3+1;21 Ve Üzeri;7;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.210.000;İstanbul;Küçükçekmece;İnönü Mahallesi
Konut;85 m²;90 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.500.000;İstanbul;Fatih;Koca Mustafapaşa Mahallesi
Konut;75 m²;85 m²;2+1;11-15;14;Kombi Doğalgaz;Boş;Hayır;1;2.650.000;İstanbul;Silivri;Yeni Mahallesi
Konut;105 m²;125 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;2.100.000;İstanbul;Silivri;Alibey Mahallesi
Konut;75 m²;85 m²;2+1;11-15;10;Kombi Doğalgaz;Kiracı Oturuyor;Evet;1;2.650.000;İstanbul;Arnavutköy;Hadımköy Mahallesi
Konut;120 m²;125 m²;3+1;11-15;5;Kombi Doğalgaz;Boş;Hayır;1;7.400.000;İstanbul;Eyüpsultan;Silahtarağa Mahallesi
Konut;45 m²;60 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Evet;1;4.650.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;153 m²;168 m²;3+2;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;6.000.000;İstanbul;Avcılar;Cihangir Mahallesi
Konut;75 m²;80 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.250.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;80 m²;90 m²;2+1;11-15;8;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;6.900.000;İstanbul;Küçükçekmece;İstasyon Mahallesi
Konut;95 m²;100 m²;2+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.799.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;75 m²;85 m²;2+1;11-15;10;Kombi Doğalgaz;Kiracı Oturuyor;Evet;1;2.650.000;İstanbul;Arnavutköy;Hadımköy Mahallesi
Konut;120 m²;125 m²;3+1;11-15;5;Kombi Doğalgaz;Boş;Hayır;1;7.400.000;İstanbul;Eyüpsultan;Silahtarağa Mahallesi
Konut;45 m²;60 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Evet;1;4.650.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;153 m²;168 m²;3+2;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;6.000.000;İstanbul;Avcılar;Cihangir Mahallesi
Konut;75 m²;80 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.250.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;80 m²;90 m²;2+1;11-15;8;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;6.900.000;İstanbul;Küçükçekmece;İstasyon Mahallesi
Konut;95 m²;100 m²;2+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.799.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;75 m²;85 m²;2+1;11-15;10;Kombi Doğalgaz;Kiracı Oturuyor;Evet;1;2.650.000;İstanbul;Arnavutköy;Hadımköy Mahallesi
Konut;120 m²;125 m²;3+1;11-15;5;Kombi Doğalgaz;Boş;Hayır;1;7.400.000;İstanbul;Eyüpsultan;Silahtarağa Mahallesi
Konut;45 m²;60 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Evet;1;4.650.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;153 m²;168 m²;3+2;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;6.000.000;İstanbul;Avcılar;Cihangir Mahallesi
Konut;75 m²;80 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.250.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;80 m²;90 m²;2+1;11-15;8;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;6.900.000;İstanbul;Küçükçekmece;İstasyon Mahallesi
Konut;95 m²;100 m²;2+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.799.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;80 m²;90 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;5.700.000;İstanbul;Kartal;Atalar Mahallesi
Konut;45 m²;60 m²;1+1;0 (Yeni);3;Kombi Doğalgaz;Boş;Hayır;1;2.700.000;İstanbul;Bayrampaşa;Vatan Mahallesi
Konut;90 m²;105 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Gaziosmanpaşa;Karadeniz Mahallesi
Konut;75 m²;80 m²;1 Oda;5-10;4;Merkezi Doğalgaz;Kiracı Oturuyor;Evet;1;4.650.000;İstanbul;Beylikdüzü;Kavaklı Mahallesi
Konut;45 m²;55 m²;1+1;1;5;Kombi Doğalgaz;Boş;Hayır;1;2.100.000;İstanbul;Şişli;Gülbahar Mahallesi
Konut;75 m²;85 m²;2+1;11-15;10;Kombi Doğalgaz;Kiracı Oturuyor;Evet;1;2.650.000;İstanbul;Arnavutköy;Hadımköy Mahallesi
Konut;120 m²;125 m²;3+1;11-15;5;Kombi Doğalgaz;Boş;Hayır;1;7.400.000;İstanbul;Eyüpsultan;Silahtarağa Mahallesi
Konut;45 m²;60 m²;1+1;5-10;4;Kombi Doğalgaz;Boş;Evet;1;4.650.000;İstanbul;Maltepe;Altıntepe Mahallesi
Konut;153 m²;168 m²;3+2;5-10;4;Kombi Doğalgaz;Boş;Hayır;2;6.000.000;İstanbul;Avcılar;Cihangir Mahallesi
Konut;75 m²;80 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;3.250.000;İstanbul;Sultangazi;Gazi Mahallesi
Konut;80 m²;90 m²;2+1;11-15;8;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;6.900.000;İstanbul;Küçükçekmece;İstasyon Mahallesi
Konut;95 m²;100 m²;2+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.799.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;80 m²;90 m²;2+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;5.700.000;İstanbul;Kartal;Atalar Mahallesi
Konut;45 m²;60 m²;1+1;0 (Yeni);3;Kombi Doğalgaz;Boş;Hayır;1;2.700.000;İstanbul;Bayrampaşa;Vatan Mahallesi
Konut;90 m²;105 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.000.000;İstanbul;Gaziosmanpaşa;Karadeniz Mahallesi
Konut;75 m²;80 m²;1 Oda;5-10;4;Merkezi Doğalgaz;Kiracı Oturuyor;Evet;1;4.650.000;İstanbul;Beylikdüzü;Kavaklı Mahallesi
Konut;45 m²;55 m²;1+1;1;5;Kombi Doğalgaz;Boş;Hayır;1;2.100.000;İstanbul;Şişli;Gülbahar Mahallesi
Konut;95 m²;100 m²;2+1;11-15;5;Merkezi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.950.000;İstanbul;Sultangazi;Cebeci Mahallesi
Konut;100 m²;110 m²;3+1;16-20;4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.100.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;60 m²;70 m²;2+1;16-20;4;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;1.520.000;İstanbul;Bahçelievler;Hürriyet Mahallesi
Konut;70 m²;75 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;2.100.000;İstanbul;Bahçelievler;Zafer Mahallesi
Konut;70 m²;85 m²;2+1;5-10;5;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;1;4.640.000;İstanbul;Pendik;Şeyhli Mahallesi
Konut;125 m²;145 m²;3+1;5-10;5;Merkezi Doğalgaz;Boş;Evet;2;9.500.000;İstanbul;Tuzla;Yayla Mahallesi
Konut;90 m²;110 m²;3+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;4.100.000;İstanbul;Çekmeköy;Alemdağ Mahallesi
Konut;94 m²;125 m²;3+1;5-10;10;Kombi Doğalgaz;Boş;Hayır;2;19.850.000;İstanbul;Kadıköy;Suadiye Mahallesi
Konut;80 m²;85 m²;2+1;21 Ve Üzeri;6;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.590.000;İstanbul;Bahçelievler;Hürriyet Mahallesi
Konut;65 m²;75 m²;2+1;0 (Yeni);19;Merkezi (Pay Ölçer);Boş;Evet;1;6.350.000;İstanbul;Maltepe;Zümrütevler Mahallesi
Konut;150 m²;200 m²;2+2;5-10;3;Kombi Doğalgaz;Boş;Hayır;2;70.000.000;İstanbul;Sarıyer;Maden Mahallesi
Konut;88 m²;110 m²;2+1;0 (Yeni);5;Yerden Isıtma;Boş;Hayır;2;21.500.000;İstanbul;Şişli;Kuştepe Mahallesi
Konut;70 m²;75 m²;2+1;5-10;2;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.850.000;İstanbul;Küçükçekmece;Tevfik Bey Mahallesi
Konut;90 m²;105 m²;3+1;0 (Yeni);5;Kombi Doğalgaz;Boş;Hayır;1;12.000.000;İstanbul;Üsküdar;Acıbadem Mahallesi
Konut;100 m²;115 m²;3+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;5.300.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;75 m²;80 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Hayır;1;3.850.000;İstanbul;Bahçelievler;Yenibosna Merkez Mahallesi
Konut;95 m²;100 m²;3+1;11-15;4;Kombi Doğalgaz;Boş;Hayır;1;5.500.000;İstanbul;Ataşehir;İnönü Mahallesi
Konut;100 m²;116 m²;2+1;5-10;5;Merkezi Doğalgaz;Kiracı Oturuyor;Evet;1;6.950.000;İstanbul;Sancaktepe;Emek Mahallesi
Konut;95 m²;130 m²;3+1;5-10;8;Kombi Doğalgaz;Boş;Hayır;1;12.950.000;İstanbul;Kadıköy;Göztepe Mahallesi
Konut;65 m²;85 m²;1+1;0 (Yeni);4;Kombi Doğalgaz;Boş;Evet;1;1.950.000;İstanbul;Arnavutköy;Mehmet Akif Ersoy Mahallesi
Konut;90 m²;120 m²;2+1;21 Ve Üzeri;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;1.950.000;İstanbul;Eyüpsultan;Yeşilpınar Mahallesi
Konut;98 m²;118 m²;3+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;Yok;7.900.000;İstanbul;Kadıköy;Bostancı Mahallesi
Konut;120 m²;125 m²;3+1;11-15;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;4.250.000;İstanbul;Sultangazi;Sultançiftliği Mahallesi
Konut;80 m²;85 m²;2+1;5-10;5;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;2.595.000;İstanbul;Sultangazi;İsmetpaşa Mahallesi
Konut;87 m²;100 m²;2+1;0 (Yeni);6;Kombi Doğalgaz;Boş;Evet;2;2.949.999;İstanbul;Beylikdüzü;Yakuplu Mahallesi
Konut;78 m²;95 m²;2+1;5-10;8;Kombi Doğalgaz;Kiracı Oturuyor;Hayır;2;12.350.000;İstanbul;Kadıköy;Göztepe Mahallesi
Konut;85 m²;90 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;1;2.500.000;İstanbul;Güngören;Haznedar Mahallesi
Konut;75 m²;90 m²;2+1;0 (Yeni);4;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.550.000;İstanbul;Silivri;Ortaköy Mahallesi
Konut;115 m²;145 m²;3+1;11-15;9;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;2;6.500.000;İstanbul;Ümraniye;Çakmak Mahallesi
Konut;130 m²;155 m²;2+1;21 Ve Üzeri;4;Kombi Doğalgaz;Boş;Hayır;2;8.800.000;İstanbul;Bahçelievler;Bahçelievler Mahallesi
Konut;85 m²;100 m²;2+1;11-15;3;Kombi Doğalgaz;Mülk Sahibi Oturuyor;Hayır;1;3.500.000;İstanbul;Pendik;Dumlupınar Mahallesi
